file_name,lzma,bz2,zlib,wavelets
client_storage/R2017_10_06/M171006_065151.lvm,932797,202252,181290,268144,1269
client_storage/R2017_10_06/M171006_073227.lvm,934789,198464,173825,262591,1233
client_storage/R2017_10_06/M171006_004145.lvm,933440,199580,180629,268681,1028
client_storage/R2017_10_06/M171006_052122.lvm,932282,201072,186246,273023,1247
client_storage/R2017_10_06/M171006_090919.lvm,929453,204012,186312,274500,1315
client_storage/R2017_10_06/M171006_071106.lvm,926498,199336,179957,269995,1318
client_storage/R2017_10_06/M171006_062130.lvm,930408,200260,181510,265702,1140
client_storage/R2017_10_06/M171006_080858.lvm,929350,200044,180212,266448,1123
client_storage/R2017_10_06/M171006_055043.lvm,935588,198956,176724,261837,1175
client_storage/R2017_10_06/M171006_051319.lvm,918436,211544,207816,288593,1174
client_storage/R2017_10_06/M171006_060316.lvm,934180,200288,178946,264804,1128
client_storage/R2017_10_06/M171006_083624.lvm,928194,208332,192657,282466,1261
client_storage/R2017_10_06/M171006_083827.lvm,926039,212408,203748,288792,1177
client_storage/R2017_10_06/M171006_055419.lvm,934428,200052,182238,265143,1242
client_storage/R2017_10_06/M171006_064815.lvm,926953,202848,186679,272259,1059
client_storage/R2017_10_06/M171006_060139.lvm,924444,200152,175853,264557,1120
client_storage/R2017_10_06/M171006_071707.lvm,927469,202484,179433,271336,1093
client_storage/R2017_10_06/M171006_084255.lvm,920566,207236,194161,279123,1167
client_storage/R2017_10_06/M171006_000750.lvm,932169,202476,179890,269133,1170
client_storage/R2017_10_06/M171006_064213.lvm,929719,202372,185646,271226,1151
client_storage/R2017_10_06/M171006_090408.lvm,920563,203232,178763,271332,1150
client_storage/R2017_10_06/M171006_060735.lvm,926999,199548,178912,268128,1198
client_storage/R2017_10_06/M171006_064057.lvm,932932,201608,187029,270172,1183
client_storage/R2017_10_06/M171006_075958.lvm,931072,225940,250195,320310,1545
client_storage/R2017_10_06/M171006_065856.lvm,925411,201556,175277,265861,959
client_storage/R2017_10_06/M171006_073024.lvm,930185,198428,176759,262412,1102
client_storage/R2017_10_06/M171006_065810.lvm,934908,201248,185370,265569,1300
client_storage/R2017_10_06/M171006_073437.lvm,933572,200432,179683,267011,1113
client_storage/R2017_10_06/M171006_064839.lvm,931795,200888,175753,268263,1096
client_storage/R2017_10_06/M171006_023218.lvm,933535,202612,186160,266725,1297
client_storage/R2017_10_06/M171006_070132.lvm,931905,196736,174445,260997,1070
client_storage/R2017_10_06/M171006_071517.lvm,934623,196040,174554,263031,1230
client_storage/R2017_10_06/M171006_080814.lvm,935695,197640,181150,266314,1327
client_storage/R2017_10_06/M171006_070137.lvm,931197,200676,185187,267535,1200
client_storage/R2017_10_06/M171006_060415.lvm,930293,196684,173880,261470,1083
client_storage/R2017_10_06/M171006_062542.lvm,923700,215644,210129,293244,1214
client_storage/R2017_10_06/M171006_071243.lvm,934176,198380,172331,260361,1148
client_storage/R2017_10_06/M171006_074707.lvm,926884,200136,171516,264990,1069
client_storage/R2017_10_06/M171006_042016.lvm,923920,206880,194395,277761,1188
