file_name,original_size,lzma,bz2,zlib,wavelets
..\client_storage\R2017_10_06\M171006_040935.lvm,928264,200176,181885,269819,1171
..\client_storage\R2017_10_06\M171006_040955.lvm,928640,199264,175216,267829,1163
..\client_storage\R2017_10_06\M171006_041014.lvm,926736,200800,181906,271429,1254
..\client_storage\R2017_10_06\M171006_041058.lvm,933557,199384,181440,266242,1195
..\client_storage\R2017_10_06\M171006_041210.lvm,927960,210028,199163,280063,1141
..\client_storage\R2017_10_06\M171006_041224.lvm,928144,197516,174632,262344,1168
..\client_storage\R2017_10_06\M171006_041359.lvm,928426,200312,175005,263871,1084
..\client_storage\R2017_10_06\M171006_041402.lvm,932940,200136,181758,265143,1166
..\client_storage\R2017_10_06\M171006_041426.lvm,931508,199880,180745,265062,1114
..\client_storage\R2017_10_06\M171006_041451.lvm,930616,201824,178181,267150,1285
..\client_storage\R2017_10_06\M171006_041532.lvm,929185,202260,182665,269350,1141
..\client_storage\R2017_10_06\M171006_041812.lvm,926296,199800,173672,264017,1191
..\client_storage\R2017_10_06\M171006_042011.lvm,933887,201140,180680,266192,1146
..\client_storage\R2017_10_06\M171006_042016.lvm,923920,206880,194395,277761,1190
..\client_storage\R2017_10_06\M171006_042019.lvm,923391,198904,170588,264081,1080
..\client_storage\R2017_10_06\M171006_042045.lvm,924260,198952,177521,268594,1163
..\client_storage\R2017_10_06\M171006_042102.lvm,919215,202504,180337,267737,1138
..\client_storage\R2017_10_06\M171006_042116.lvm,919488,202048,175339,267573,1086
..\client_storage\R2017_10_06\M171006_042126.lvm,919441,201344,175328,265361,1087
..\client_storage\R2017_10_06\M171006_042151.lvm,920613,195680,174589,264132,1106
..\client_storage\R2017_10_06\M171006_042212.lvm,930514,199236,184773,270585,1154
..\client_storage\R2017_10_06\M171006_042237.lvm,928200,201680,183819,267966,1160
..\client_storage\R2017_10_06\M171006_042254.lvm,928594,203476,179196,270091,1128
..\client_storage\R2017_10_06\M171006_042529.lvm,913529,206664,196782,278911,1171
..\client_storage\R2017_10_06\M171006_042740.lvm,916681,200028,178905,267877,1138
..\client_storage\R2017_10_06\M171006_042831.lvm,917858,201112,184820,272152,1144
..\client_storage\R2017_10_06\M171006_043026.lvm,916373,207820,197569,282212,1234
..\client_storage\R2017_10_06\M171006_043030.lvm,922440,200976,178446,271424,1191
..\client_storage\R2017_10_06\M171006_043052.lvm,923481,217052,217252,295614,1169
..\client_storage\R2017_10_06\M171006_043210.lvm,932491,200240,180361,265202,1210
..\client_storage\R2017_10_06\M171006_043211.lvm,931278,199504,179457,267378,1268
..\client_storage\R2017_10_06\M171006_043258.lvm,931452,205472,196859,279249,1335
..\client_storage\R2017_10_06\M171006_043325.lvm,931720,203572,198834,278701,1221
..\client_storage\R2017_10_06\M171006_043327.lvm,931366,205344,196905,278835,1274
..\client_storage\R2017_10_06\M171006_043330.lvm,929421,204648,189297,274619,1240
..\client_storage\R2017_10_06\M171006_043527.lvm,932742,199624,176106,264614,1227
..\client_storage\R2017_10_06\M171006_043743.lvm,923381,210764,202874,284903,1214
..\client_storage\R2017_10_06\M171006_043820.lvm,934068,197064,172873,262603,1142
..\client_storage\R2017_10_06\M171006_044014.lvm,929763,199928,175786,265512,1152
..\client_storage\R2017_10_06\M171006_044017.lvm,929789,200532,176515,267768,1235
..\client_storage\R2017_10_06\M171006_044052.lvm,930489,199592,177256,263836,1182
..\client_storage\R2017_10_06\M171006_044106.lvm,929867,198032,169217,260341,1203
..\client_storage\R2017_10_06\M171006_044155.lvm,929757,198720,174706,261572,1072
..\client_storage\R2017_10_06\M171006_044217.lvm,932692,196924,168977,259374,1093
..\client_storage\R2017_10_06\M171006_044227.lvm,931165,200440,176488,263371,1096
..\client_storage\R2017_10_06\M171006_044234.lvm,932886,200080,173792,264412,1150
..\client_storage\R2017_10_06\M171006_044254.lvm,926754,198988,181388,268998,1134
..\client_storage\R2017_10_06\M171006_044332.lvm,928843,204760,189044,273708,1216
..\client_storage\R2017_10_06\M171006_044410.lvm,927924,199712,178565,265017,1250
..\client_storage\R2017_10_06\M171006_044453.lvm,922369,206452,194344,276460,1115
..\client_storage\R2017_10_06\M171006_044555.lvm,933325,200264,180637,265890,1152
..\client_storage\R2017_10_06\M171006_044629.lvm,932982,200864,178979,266582,1055
..\client_storage\R2017_10_06\M171006_044635.lvm,929616,197128,176016,265523,973
..\client_storage\R2017_10_06\M171006_044703.lvm,927867,216164,215685,294635,1221
..\client_storage\R2017_10_06\M171006_044728.lvm,932197,196944,177669,267060,1094
..\client_storage\R2017_10_06\M171006_044829.lvm,928513,200712,183012,268744,1231
..\client_storage\R2017_10_06\M171006_044838.lvm,928706,201140,180563,269439,1204
..\client_storage\R2017_10_06\M171006_044910.lvm,922521,199824,179361,265121,1117
..\client_storage\R2017_10_06\M171006_044944.lvm,929690,201664,177362,265937,1172
..\client_storage\R2017_10_06\M171006_045053.lvm,936142,200028,187776,266003,1331
..\client_storage\R2017_10_06\M171006_045131.lvm,926285,200964,176414,263605,1132
..\client_storage\R2017_10_06\M171006_045216.lvm,932730,196080,170920,257630,1066
..\client_storage\R2017_10_06\M171006_045256.lvm,926802,200096,174678,263384,1113
..\client_storage\R2017_10_06\M171006_045318.lvm,933833,202224,185149,267783,1255
..\client_storage\R2017_10_06\M171006_045434.lvm,929568,203864,185648,273045,1259
..\client_storage\R2017_10_06\M171006_045521.lvm,931061,199212,184419,268652,1287
..\client_storage\R2017_10_06\M171006_045610.lvm,931025,200840,178159,264789,1134
..\client_storage\R2017_10_06\M171006_045628.lvm,926761,199900,180007,267961,1263
..\client_storage\R2017_10_06\M171006_045642.lvm,932224,214140,213848,297028,1403
..\client_storage\R2017_10_06\M171006_045646.lvm,934243,202404,185813,269810,1309
..\client_storage\R2017_10_06\M171006_045652.lvm,933827,199840,188040,269727,1305
..\client_storage\R2017_10_06\M171006_045701.lvm,934945,199992,178840,265529,1155
..\client_storage\R2017_10_06\M171006_045717.lvm,933770,211652,206654,288230,1368
..\client_storage\R2017_10_06\M171006_045852.lvm,926104,198892,181326,268192,1149
..\client_storage\R2017_10_06\M171006_045926.lvm,927235,201788,184897,269354,1162
..\client_storage\R2017_10_06\M171006_050005.lvm,929314,197768,178210,265143,1127
..\client_storage\R2017_10_06\M171006_050016.lvm,931310,197192,178189,263227,1118
..\client_storage\R2017_10_06\M171006_050151.lvm,927185,201364,183938,269093,1283
..\client_storage\R2017_10_06\M171006_050230.lvm,934961,196284,179019,260437,1228
..\client_storage\R2017_10_06\M171006_050235.lvm,936293,197772,178037,259269,1311
..\client_storage\R2017_10_06\M171006_050240.lvm,936027,200032,179204,262629,1218
..\client_storage\R2017_10_06\M171006_050246.lvm,936877,198604,181990,260865,1396
..\client_storage\R2017_10_06\M171006_050249.lvm,935140,198412,177585,260948,1266
..\client_storage\R2017_10_06\M171006_050252.lvm,934764,198660,184452,267320,1202
..\client_storage\R2017_10_06\M171006_050253.lvm,934836,199796,184631,268807,1201
..\client_storage\R2017_10_06\M171006_050322.lvm,932325,200628,178672,265790,1164
..\client_storage\R2017_10_06\M171006_050349.lvm,932852,196276,179154,265856,1176
..\client_storage\R2017_10_06\M171006_050502.lvm,934614,199416,177647,264265,1145
..\client_storage\R2017_10_06\M171006_050511.lvm,936030,201120,190640,269090,1249
..\client_storage\R2017_10_06\M171006_050522.lvm,936357,198080,180078,264041,1253
..\client_storage\R2017_10_06\M171006_050552.lvm,935395,195828,176890,259749,1195
..\client_storage\R2017_10_06\M171006_050601.lvm,929909,199372,174468,265976,1158
..\client_storage\R2017_10_06\M171006_050629.lvm,926350,212540,209069,289442,1190
..\client_storage\R2017_10_06\M171006_050714.lvm,933073,200108,180403,265640,1206
..\client_storage\R2017_10_06\M171006_050738.lvm,931473,200704,183514,265633,1149
..\client_storage\R2017_10_06\M171006_050842.lvm,927747,199984,180297,266858,1090
..\client_storage\R2017_10_06\M171006_050846.lvm,931824,199952,178413,265679,1116
..\client_storage\R2017_10_06\M171006_050852.lvm,935562,198132,181845,264488,1248
..\client_storage\R2017_10_06\M171006_050903.lvm,928854,199480,177959,269330,1146
..\client_storage\R2017_10_06\M171006_050911.lvm,927079,200956,182044,266925,1130
..\client_storage\R2017_10_06\M171006_050915.lvm,927483,201528,183127,267459,1256
..\client_storage\R2017_10_06\M171006_050932.lvm,928038,199840,177671,264025,1172
..\client_storage\R2017_10_06\M171006_050938.lvm,923655,208916,196916,281782,1151
..\client_storage\R2017_10_06\M171006_050954.lvm,933367,197232,182289,267066,1142
..\client_storage\R2017_10_06\M171006_051032.lvm,923709,211208,206559,286669,1116
..\client_storage\R2017_10_06\M171006_051132.lvm,923526,201904,179863,269736,1080
..\client_storage\R2017_10_06\M171006_051137.lvm,923078,204204,183037,272146,1076
..\client_storage\R2017_10_06\M171006_051145.lvm,926370,202608,187290,273396,1148
..\client_storage\R2017_10_06\M171006_051156.lvm,929352,199784,182536,267697,1226
..\client_storage\R2017_10_06\M171006_051247.lvm,928317,202420,185768,272437,1149
..\client_storage\R2017_10_06\M171006_051319.lvm,918436,211544,207816,288593,1175
..\client_storage\R2017_10_06\M171006_051329.lvm,918161,201412,181968,272251,1230
..\client_storage\R2017_10_06\M171006_051333.lvm,919786,212592,206080,289118,1267
..\client_storage\R2017_10_06\M171006_051359.lvm,921203,202672,184786,271866,1106
..\client_storage\R2017_10_06\M171006_051447.lvm,931781,200812,185297,267600,1150
..\client_storage\R2017_10_06\M171006_051448.lvm,933311,202160,183209,270628,1244
